genome	source	strains	expand	GTDB_capture	novo	contigs	genome_size	avg_len	N50_len	N90_len	GC	completeness	contamination	gene	5S	16S	23S	tRNA	quality	domain	phylum	class	order	family	genus	species
K297	isolate	1	Yes	Yes	No	2262	2711673	1198.79	110092	272	43.48	100	3.92	4344	2	7	26	56	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus oralis_K
K298	isolate	1	Yes	Yes	No	450	5344263	11876.14	201114	78682	68.08	99.99	0.4	5378	0	3	2	49	medium-quality	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_C	g__Bordetella	s__Bordetella pertussis
K299	isolate	1	Yes	Yes	No	1063	2432135	2287.99	106969	362	41.01	95.38	1.56	2967	2	8	14	50	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus salivarius
K319	isolate	5	No	Yes	No	480	2190396	4563.33	200912	32157	39.97	99.66	1.03	2377	8	12	6	57	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Aerococcus	s__Aerococcus urinaeequi
K320	isolate	1	Yes	Yes	No	980	5574358	5688.12	322512	36414	36.19	99.99	0.48	6429	15	11	14	99	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A cereus_AU
K329	isolate	1	Yes	No	Yes	1037	2241287	2161.32	173829	309	43.73	99.9	0.38	2930	1	2	12	53	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__
K330	isolate	1	Yes	Yes	No	307	2339046	7619.04	404291	88603	42.76	99.99	0.03	2480	2	9	4	50	high-quality	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Pasteurellaceae	g__Frederiksenia	s__Frederiksenia canicola
K331	isolate	1	Yes	No	Yes	987	2352969	2383.96	103360	419	40.6	100	1.97	2942	1	5	18	45	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__
K338	isolate	1	Yes	No	Yes	44	1968008	44727.45	103620	31240	39.93	99.98	0.01	1882	1	2	2	44	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__
K340	isolate	1	Yes	Yes	No	13	2264451	174188.53	284102	127781	59.59	100	0.02	1787	4	2	2	49	high-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Rothia	s__Rothia mucilaginosa
K341	isolate	1	No	Yes	No	46	2605559	56642.59	232513	56129	37.8	100	0.99	2498	2	4	6	56	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Carnobacterium_A	s__Carnobacterium_A sp001483965
K343	isolate	1	Yes	No	Yes	499	2709826	5430.51	372969	157284	40.57	98.13	0.7	2653	2	10	6	60	high-quality	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Cardiobacteriales	f__Wohlfahrtiimonadaceae	g__Ignatzschineria	s__
K67	isolate	3	No	Yes	No	377	2088374	5539.45	71909	11945	38.81	100	0.15	2185	1	12	11	68	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__Limosilactobacillus reuteri
K72	isolate	1	Yes	Yes	No	288	3668387	12737.46	169167	38270	41.24	100	0.14	3921	4	4	10	77	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus pumilus
K8	isolate	1	No	Yes	No	455	2542646	5588.23	81438	14439	45.96	99.99	0.17	2805	2	11	6	66	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Levilactobacillus	s__Levilactobacillus brevis
PN10RA.bin.155	metagenome-assembly	1	Yes	Yes	No	288	943804	3277.1	3590	1889	48.4	50.43	0.99	980	0	0	0	12	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAKSCM01	s__CAKSCM01 sp934444365
PN10RA.bin.28	metagenome-assembly	20	No	Yes	No	39	2083015	53410.64	124583	37001	41.72	97.77	0.4	2060	0	0	1	35	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA11774	s__UBA11774 sp900556645
PN10RA.bin.62	metagenome-assembly	2	Yes	Yes	No	647	1717630	2654.76	2773	1681	68.12	53.76	0.87	2042	0	0	0	23	medium-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium variabile
PN10RA.bin.94	metagenome-assembly	1	Yes	No	Yes	599	1597786	2667.42	2749	1727	40.61	59.67	9.42	1918	0	0	0	15	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__UBA1381	f__UBA1381	g__Ornithomonoglobus	s__
PN10RA.vae.10537	metagenome-assembly	6	No	Yes	No	35	1045523	29872.09	45161	13954	35.28	94.84	0.43	1053	0	0	0	44	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UMGS1491	s__UMGS1491 sp934695425
PN10RA.vae.11136	metagenome-assembly	6	No	No	No	241	1878508	7794.64	10824	3561	54.42	79.28	0.81	1908	1	2	0	33	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN10RA.vae.1832	metagenome-assembly	1	Yes	No	Yes	315	2255527	7160.4	8954	3476	59.58	85.64	2.65	2221	3	2	0	24	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__Faecivicinus	s__
PN10RA.vae.27096	metagenome-assembly	4	Yes	No	Yes	114	1797570	15768.16	22224	8827	56.22	82.43	0.1	1637	2	0	0	35	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN10RA.vae.29982	metagenome-assembly	1	Yes	No	Yes	339	3396677	10019.7	20395	3744	29.84	95.81	3	3170	5	0	3	46	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__
PN10RA.vae.3369	metagenome-assembly	1	Yes	No	Yes	310	1395247	4500.8	5234	1941	45.98	63.2	6.74	1628	2	0	0	21	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Ruminococcus_E	s__
PN10RA.vae.4826	metagenome-assembly	2	Yes	No	Yes	447	1673384	3743.59	4269	2029	48.83	69.93	4.39	1972	0	0	0	33	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Anaerotignaceae	g__Anaerotignum	s__
PN10RA.vae.55780	metagenome-assembly	8	Yes	No	Yes	74	2919373	39450.99	57344	19295	36.98	96.32	0.1	2797	0	0	3	52	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__
PN10RA.vae.5622	metagenome-assembly	41	Yes	Yes	No	72	1987928	27610.11	39641	12133	47.87	96.99	0.9	1789	3	2	0	45	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus equicursoris
PN10RA.vae.6800	metagenome-assembly	1	Yes	No	Yes	213	3393793	15933.3	26179	7503	29.55	99.97	2.13	3412	4	4	2	55	high-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__
PN10RA.vae.9727	metagenome-assembly	1	Yes	No	Yes	528	1868011	3537.9	3885	2093	37.18	57.19	0.29	1959	0	0	0	16	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__COE1	s__
PN10RB.bin.103	metagenome-assembly	1	Yes	No	Yes	463	1847849	3991.03	4525	2053	62.12	74.83	8.42	2070	0	0	0	18	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Evtepia	s__
PN10RB.bin.129	metagenome-assembly	5	No	Yes	No	70	2210493	31578.47	40730	16231	51.07	99.76	0.06	1923	0	0	0	40	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-873	s__CAG-873 sp017889945
PN10RB.bin.140	metagenome-assembly	1	Yes	No	Yes	97	1433324	14776.54	21816	7326	39.3	94.97	1.27	1413	0	0	0	35	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_D	s__
PN10RB.bin.191	metagenome-assembly	1	Yes	No	Yes	551	1538330	2791.89	2958	1783	49.73	62.95	3.79	1859	1	0	0	16	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__CAG-115	s__
PN10RB.bin.39	metagenome-assembly	1	No	No	No	23	1915540	83284.35	126444	41738	42.38	99.46	0.19	1800	2	0	0	42	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Fimenecus	s__
PN10RB.bin.67	metagenome-assembly	1	Yes	No	Yes	414	1168674	2822.88	2968	1756	44.63	64.47	0.45	1366	1	0	0	10	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA6857	s__
PN10RB.bin.92	metagenome-assembly	6	Yes	Yes	No	123	2068332	16815.71	34675	6622	43.99	100	0.74	2025	2	0	0	41	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Lentihominibacter	s__Lentihominibacter sp022763735
PN10RB.vae.13718	metagenome-assembly	4	Yes	No	Yes	255	2517563	9872.8	13630	4741	43.53	88.25	4.53	2506	0	0	0	34	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__
PN10RB.vae.19525	metagenome-assembly	2	No	No	No	102	2144578	21025.28	34514	10837	55.72	88.02	2.58	2076	0	3	0	43	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN10RB.vae.21862	metagenome-assembly	1	Yes	No	Yes	103	1937423	18809.93	26701	9444	56.62	84.18	3.56	1887	0	0	0	34	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN10RB.vae.3433	metagenome-assembly	3	Yes	No	Yes	195	2288959	11738.25	15825	5496	56.31	95.47	1.04	2077	4	0	0	40	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN10RB.vae.4838	metagenome-assembly	2	Yes	No	Yes	443	1282053	2894.02	3167	1756	46.17	56.54	0.99	1516	0	0	0	22	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Paralachnospira	s__
PN10RB.vae.48460	metagenome-assembly	4	Yes	No	Yes	198	2022072	10212.48	13892	5022	56.13	90.07	1.05	1949	2	3	0	25	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN10RB.vae.57037	metagenome-assembly	1	Yes	No	Yes	347	2152198	6202.3	7967	2936	43.2	74.26	0.24	2233	0	0	4	33	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__
PN10RB.vae.64619	metagenome-assembly	6	Yes	No	Yes	421	2156915	5123.31	6024	2777	60.45	84.06	2.83	2263	4	2	0	25	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__UBA11524	s__
PN10RB.vae.6992	metagenome-assembly	2	Yes	No	Yes	322	1095969	3403.63	3846	1934	36.62	66.81	0.34	1243	0	0	0	14	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__
PN10RB.vae.75587	metagenome-assembly	1	Yes	No	Yes	184	2025197	11006.51	16601	4773	55.96	85.47	1.67	2006	0	1	0	37	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN10RB.vae.90602	metagenome-assembly	2	No	Yes	No	333	2876191	8637.21	12513	3850	33.83	99.47	3.65	2612	0	0	0	37	medium-quality	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__Treponema_D sp022773305
PN10RC.bin.106	metagenome-assembly	1	Yes	No	Yes	308	1075921	3493.25	3958	1910	36.22	71.18	5.06	1224	0	0	0	19	medium-quality	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__Scatenecus	s__
PN10RC.bin.112	metagenome-assembly	1	Yes	No	Yes	86	2815708	32740.79	51097	17592	43.57	95.77	2.2	2694	0	1	0	46	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnoclostridium_B	s__
PN10RC.bin.31	metagenome-assembly	1	Yes	Yes	No	218	1432564	6571.39	8320	3294	39.07	95.72	5.78	1539	0	2	0	25	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__RGIG9151	g__RGIG9151	s__RGIG9151 sp017934955
PN10RC.bin.54	metagenome-assembly	1	Yes	No	Yes	495	1235908	2496.78	2515	1698	62.58	55.93	7.88	1407	0	0	0	14	medium-quality	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__
PN10RC.bin.78	metagenome-assembly	2	Yes	No	Yes	108	2217938	20536.46	28016	9099	57.54	91.28	0.21	1836	0	0	1	41	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-873	s__
PN10RC.vae.13532	metagenome-assembly	1	Yes	No	Yes	350	1777512	5078.61	6055	2553	62.1	67.49	2.17	1902	1	0	0	26	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__
PN10RC.vae.27098	metagenome-assembly	1	Yes	No	Yes	43	1234242	28703.3	51104	14723	24.71	89.6	1.73	1195	0	2	0	32	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-1000	s__
PN10RC.vae.28904	metagenome-assembly	1	Yes	No	Yes	194	794348	4094.58	4916	2202	27.41	50.55	3.81	971	0	0	0	15	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__
PN10RC.vae.31866	metagenome-assembly	1	Yes	No	Yes	179	2085842	11652.75	15182	5833	45.82	83.84	0	1802	2	0	2	38	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__UBA1381	f__UBA1381	g__UBA4716	s__
PN10RC.vae.41493	metagenome-assembly	2	Yes	No	Yes	93	1213948	13053.2	17522	6333	24.8	95.54	1.55	1308	0	4	2	34	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__UMGS995	s__
PN10RC.vae.44463	metagenome-assembly	11	Yes	No	Yes	75	1857980	24773.07	32092	12572	47.54	98.2	0.1	1641	0	0	0	36	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-382	g__UMGS1387	s__
PN10RC.vae.518	metagenome-assembly	1	No	Yes	No	423	1232239	2913.09	3065	1792	62.35	54.88	0.6	1510	0	0	0	16	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Evtepia	s__Evtepia sp004551945
PN10RC.vae.8821	metagenome-assembly	4	No	No	No	287	1907791	6647.36	8428	3529	56.52	77.76	1.46	1972	1	2	0	36	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN10RC.vae.9875	metagenome-assembly	1	Yes	No	Yes	245	918021	3747.02	4292	1995	47.57	65.99	1.28	1035	2	2	0	12	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA737	s__
PN10RD.bin.103	metagenome-assembly	1	Yes	No	Yes	459	1451311	3161.9	3352	1879	48.11	66.89	3.13	1630	0	0	0	22	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAKRRH01	s__
PN10RD.bin.112	metagenome-assembly	35	No	Yes	No	44	2020957	45930.84	88024	26824	54.13	94.94	0.22	1704	0	2	0	40	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__Cryptobacteroides sp016295245
PN10RD.bin.125	metagenome-assembly	1	Yes	Yes	No	539	1455345	2700.08	2768	1775	40.34	50.6	1.61	1669	1	0	0	9	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__HUN007	s__HUN007 sp945876405
PN10RD.bin.13	metagenome-assembly	2	No	No	No	186	2397750	12891.13	15390	7336	53.5	93.47	0.35	1780	3	0	2	46	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Alloprevotella	s__
PN10RD.bin.153	metagenome-assembly	3	No	No	No	39	2072309	53136.13	79644	26975	39.9	83.65	0.14	1588	0	2	0	39	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_F	s__
PN10RD.bin.47	metagenome-assembly	1	Yes	No	Yes	346	1782651	5152.17	6130	2476	48.33	78.48	2.33	2066	2	0	0	15	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__UBA1381	f__UBA1381	g__	s__
PN10RD.bin.48	metagenome-assembly	2	No	Yes	No	123	2025542	16467.82	23399	8635	58.08	88.71	0.06	1807	0	0	2	39	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-873	s__CAG-873 sp900550395
PN10RD.bin.63	metagenome-assembly	1	Yes	No	Yes	463	1202809	2597.86	2639	1698	62.84	55.82	1.62	1384	0	0	0	18	medium-quality	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__
PN10RD.bin.77	metagenome-assembly	12	No	Yes	No	167	2794740	16734.97	30256	7566	35.28	98.81	1.19	2567	0	0	1	40	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__COE1	s__COE1 sp017424235
PN10RD.vae.14324	metagenome-assembly	1	Yes	No	Yes	209	1534060	7340	9306	3756	56.94	66.07	5.85	1836	0	0	0	30	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN10RD.vae.147424	metagenome-assembly	12	No	Yes	No	49	1772103	36165.37	60464	16045	40.91	97.15	0.24	1617	0	0	0	37	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__Eubacterium_R sp900766895
PN10RD.vae.19703	metagenome-assembly	1	Yes	No	Yes	189	2832948	14989.14	22525	7378	44.3	96.37	0	2305	0	2	1	35	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Blautia_A	s__
PN10RD.vae.20059	metagenome-assembly	1	Yes	No	Yes	183	2489375	13603.14	20727	6852	55.92	92.16	1.45	1085	3	0	0	40	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN10RD.vae.2040	metagenome-assembly	19	No	Yes	No	46	2111078	45893	63022	25612	59.09	97.53	0.76	1439	1	0	0	48	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Evtepia	s__Evtepia sp016295225
PN10RD.vae.22907	metagenome-assembly	3	Yes	No	Yes	269	3085789	11471.33	16733	5522	42.78	90.52	1.98	1828	0	1	2	43	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__COE1	s__
PN10RD.vae.2387	metagenome-assembly	2	Yes	No	Yes	290	1834077	6324.4	8109	3012	56.36	68.61	1.04	1591	2	0	0	36	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN10RD.vae.40831	metagenome-assembly	2	No	No	No	245	1814511	7406.17	10950	3506	55.84	84.71	1.07	1749	0	1	0	26	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN10RD.vae.48954	metagenome-assembly	1	Yes	No	Yes	175	1783698	10192.56	14125	5007	55.14	87.55	0.84	1827	0	0	0	40	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN10RD.vae.68802	metagenome-assembly	16	Yes	No	Yes	89	1905104	21405.66	32403	9908	54.91	94.58	0.12	1890	1	0	0	34	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN10RD.vae.74052	metagenome-assembly	1	Yes	No	Yes	235	1236870	5263.28	6437	2661	29.44	79.32	5.02	1804	2	0	4	26	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__
PN10RD.vae.7968	metagenome-assembly	3	Yes	No	Yes	317	1527289	4817.95	6065	2527	56.92	77.04	1.63	1677	0	0	0	30	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN10RD.vae.8579	metagenome-assembly	5	Yes	No	Yes	304	1279964	4210.41	4824	2340	45.79	71.18	1.68	1705	0	0	0	12	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA11957	s__
PN10RD.vae.8840	metagenome-assembly	2	Yes	Yes	No	142	2563594	18053.48	29491	8825	41.55	97.74	4.42	1671	0	3	2	54	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Frisingicoccus	s__Frisingicoccus sp016298055
PN10RE.bin.70	metagenome-assembly	1	No	No	No	468	1625308	3472.88	3817	2031	49.9	68.86	4.16	1181	0	1	0	10	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__
PN10RE.bin.81	metagenome-assembly	3	No	Yes	No	372	1285636	3456.01	3830	1981	55.08	61.64	2.94	2002	0	0	0	33	medium-quality	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Veillonellales	f__Megasphaeraceae	g__Megasphaera	s__Megasphaera elsdenii
PN10RE.bin.9	metagenome-assembly	1	Yes	No	Yes	325	978610	3011.11	3135	1813	43.96	61.19	1.79	1249	0	0	0	20	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__UMGS1883	f__HGM11501	g__HGM11501	s__
PN10RE.vae.1538	metagenome-assembly	1	Yes	Yes	No	330	1053274	3191.74	3617	1895	34.61	60.65	1.04	1143	0	0	2	22	medium-quality	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__SFHR01	s__SFHR01 sp004555545
PN10RE.vae.1614	metagenome-assembly	3	Yes	Yes	No	297	842314	2836.07	2982	1758	33.85	60.29	0.99	2117	0	0	0	25	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Floccifex	s__Floccifex porci
PN10RE.vae.17760	metagenome-assembly	1	Yes	No	Yes	195	1003871	5148.06	5818	2813	44.81	52.42	0.61	1352	0	0	0	8	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Emergencia	s__
PN10RE.vae.22287	metagenome-assembly	1	No	No	No	78	1785037	22885.09	34714	10692	48.97	100	0.22	1072	1	4	2	65	high-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Limosilactobacillus	s__
PN10RE.vae.27722	metagenome-assembly	2	Yes	No	Yes	192	1475705	7685.96	10064	3528	39.51	87.83	0.89	1537	1	2	0	38	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__
PN10RE.vae.3402	metagenome-assembly	8	Yes	No	Yes	446	2406678	5396.14	7570	2225	43.43	80.53	2.38	1460	0	0	0	28	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__JALFVM01	s__
PN10RE.vae.35066	metagenome-assembly	38	No	Yes	No	137	2121121	15482.63	22441	7842	42.99	84.52	0.11	2145	0	0	0	34	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAJUPY01	s__CAJUPY01 sp900768685
PN10RE.vae.4218	metagenome-assembly	1	Yes	No	Yes	727	1754568	2413.44	2381	1642	42.7	58.56	5.47	1241	0	0	0	23	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__
PN10RE.vae.4305	metagenome-assembly	1	Yes	Yes	No	512	1469774	2870.65	2999	1803	41.27	56.69	0.09	2111	0	0	0	26	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_F	s__Eubacterium_F sp022769325
